"run","tick","numAdopt","deviance","remainBgt","captured","seeded","systemCost","realAdopt","IctSerNo","nullDev","rate"
2,6.0,86.0,294.19987616875045,335859.0,72.0,0.0,16879.680426824554,87.0,0.0,286.8134849398965,0.35
2,7.0,89.0,367.68152307759004,335859.0,72.0,0.0,16719.343409161735,91.0,0.0,359.72527421172373,0.35
2,8.0,91.0,443.17235734305615,335859.0,72.0,0.0,16556.285491662755,95.0,0.0,432.63567503212823,0.25
2,9.0,93.0,480.8674294926365,335859.0,72.0,0.0,16463.992051122124,97.0,0.0,472.06031021825095,0.25
2,10.0,95.0,520.9928004142095,335859.0,72.0,0.0,16370.627903351557,99.0,0.0,511.4840197700919,0.25
2,11.0,97.0,579.8023923988557,335859.0,72.0,0.0,16278.325615840378,102.0,0.0,567.6492236883169,0.25
2,12.0,100.0,638.6520418706035,335859.0,72.0,0.0,16131.781598440552,105.0,0.0,623.8135019723233,0.25
2,13.0,103.0,676.9741761541608,335859.0,72.0,0.0,15983.134846357898,107.0,0.0,663.2339718049069,0.25
2,14.0,105.0,732.2687595706782,335859.0,72.0,0.0,15834.535335413446,110.0,0.0,719.3954731860676,0.25
2,15.0,107.0,787.407069808897,335859.0,72.0,0.0,15704.929006085207,113.0,0.0,775.5560489329465,0.25
2,16.0,109.0,861.374430553236,335859.0,72.0,0.0,15574.392868289642,117.0,0.0,848.4581190455434,0.25
2,17.0,112.0,885.6751783476855,335859.0,72.0,0.0,15442.855693436375,118.0,0.0,871.1320035238587,0.25
2,18.0,115.0,993.6104393245482,335859.0,72.0,0.0,15267.76783762688,124.0,0.0,977.5165995507507,0.25
2,19.0,118.0,1119.5255202050264,335859.0,72.0,0.0,15095.85515733583,131.0,0.0,1100.6422271262204,0.2
2,20.0,120.0,1213.898659967471,335859.0,72.0,0.0,14922.81725888323,136.0,0.0,1190.2816262502674,0.2
2,21.0,122.0,1271.56604213657,335859.0,72.0,0.0,14823.089197844258,139.0,0.0,1246.4352597400325,0.2
2,22.0,124.0,1274.9579916696412,335859.0,72.0,0.0,14723.361690492939,139.0,0.0,1252.3607075955156,0.2
3,0.0,72.0,0.0,335859.0,72.0,0.0,0.0,72.0,0.0,0.0,2.5
3,1.0,74.0,23.374303526061652,335859.0,72.0,0.0,17549.127849972843,73.0,0.0,22.691008711947138,0.35
3,2.0,76.0,114.85753734753791,335859.0,72.0,0.0,17410.078294030638,78.0,0.0,112.35077178960212,0.35
3,3.0,78.0,193.0036744411789,335859.0,72.0,0.0,17288.978049350004,82.0,0.0,185.26718923301993,0.35
3,4.0,80.0,250.2689329171971,335859.0,72.0,0.0,17166.933359283714,85.0,0.0,241.44026104197422,0.35
3,5.0,83.0,272.3496888159295,335859.0,72.0,0.0,17042.83974458795,86.0,0.0,264.1275672166467,0.35
3,6.0,86.0,294.21146532553314,335859.0,72.0,0.0,16878.36560479791,87.0,0.0,286.8134849398965,0.35
